prev,curr,n
1556_Shaanxi_earthquake,Lists_of_earthquakes,1
1556_Shaanxi_earthquake,Seismic_magnitude_scales,1
1700_Cascadia_earthquake,1906_San_Francisco_earthquake,1
1700_Cascadia_earthquake,2004_Indian_Ocean_earthquake_and_tsunami,1
1700_Cascadia_earthquake,List_of_earthquakes_in_the_United_States,1
1700_Cascadia_earthquake,List_of_tsunamis,1
1700_Cascadia_earthquake,Megathrust_earthquake,1
1755_Lisbon_earthquake,List_of_tsunamis,1
1755_Lisbon_earthquake,Lists_of_earthquakes,1
1755_Lisbon_earthquake,Modified_Mercalli_intensity_scale,1
1755_Lisbon_earthquake,Moment_magnitude_scale,1
1755_Lisbon_earthquake,Tsunami,1
1886_Charleston_earthquake,List_of_earthquakes_in_the_United_States,1
1906_San_Francisco_earthquake,1989_Loma_Prieta_earthquake,1
1906_San_Francisco_earthquake,2014_South_Napa_earthquake,1
1906_San_Francisco_earthquake,Fault_(geology),1
1906_San_Francisco_earthquake,List_of_earthquakes_in_the_United_States,1
1906_San_Francisco_earthquake,Modified_Mercalli_intensity_scale,1
1906_San_Francisco_earthquake,Moment_magnitude_scale,1
1906_San_Francisco_earthquake,Richter_magnitude_scale,1
1906_San_Francisco_earthquake,San_Andreas_Fault,1
1925_serum_run_to_Nome,Balto,1
1925_serum_run_to_Nome,Iditarod_Trail_Sled_Dog_Race,1
1925_serum_run_to_Nome,Mushing,1
1925_serum_run_to_Nome,"Nome,_Alaska",1
1958_Lituya_Bay_earthquake_and_megatsunami,Fault_(geology),1
1958_Lituya_Bay_earthquake_and_megatsunami,List_of_earthquakes_in_Alaska,1
1958_Lituya_Bay_earthquake_and_megatsunami,List_of_tsunamis,1
1958_Lituya_Bay_earthquake_and_megatsunami,Modified_Mercalli_intensity_scale,1
1960_Valdivia_earthquake,2010_Chile_earthquake,1
1960_Valdivia_earthquake,Aleutian_Islands,1
1960_Valdivia_earthquake,Lists_of_earthquakes,1
1960_Valdivia_earthquake,Megathrust_earthquake,1
1960_Valdivia_earthquake,Moment_magnitude_scale,1
1960_Valdivia_earthquake,Seismic_magnitude_scales,1
1960_Valdivia_earthquake,Soil_liquefaction,1
1960_Valdivia_earthquake,Subduction,1
1960_Valdivia_earthquake,Tsunami,1
1964_Alaska_earthquake,2018_Anchorage_earthquake,1
1964_Alaska_earthquake,2018_Gulf_of_Alaska_earthquake,1
1964_Alaska_earthquake,Alaska,1
1964_Alaska_earthquake,Alaska_Time_Zone,1
1964_Alaska_earthquake,Aleutian_Trench,1
1964_Alaska_earthquake,"Anchorage,_Alaska",1
1964_Alaska_earthquake,"Bootleggers_Cove,_Anchorage",1
1964_Alaska_earthquake,California,1
1964_Alaska_earthquake,Cook_Inlet,1
1964_Alaska_earthquake,"Crescent_City,_California",1
1964_Alaska_earthquake,Earthquake_engineering,1
1964_Alaska_earthquake,"Girdwood,_Anchorage,_Alaska",1
1964_Alaska_earthquake,Knik_Arm,1
1964_Alaska_earthquake,"Kodiak,_Alaska",1
1964_Alaska_earthquake,Kodiak_Island,1
1964_Alaska_earthquake,List_of_earthquakes_in_Alaska,1
1964_Alaska_earthquake,List_of_earthquakes_in_the_United_States,1
1964_Alaska_earthquake,Lists_of_earthquakes,1
1964_Alaska_earthquake,Megathrust_earthquake,1
1964_Alaska_earthquake,Modified_Mercalli_intensity_scale,1
1964_Alaska_earthquake,National_Tsunami_Warning_Center,1
1964_Alaska_earthquake,Peak_ground_acceleration,1
1964_Alaska_earthquake,"Portage,_Anchorage",1
1964_Alaska_earthquake,"Prudhoe_Bay,_Alaska",1
1964_Alaska_earthquake,"Seward,_Alaska",1
1964_Alaska_earthquake,Seward_Highway,1
1964_Alaska_earthquake,Soil_liquefaction,1
1964_Alaska_earthquake,Subduction,1
1964_Alaska_earthquake,Tsunami,1
1964_Alaska_earthquake,Turnagain_Arm,1
1964_Alaska_earthquake,United_States_Geological_Survey,1
1964_Alaska_earthquake,"Valdez,_Alaska",1
1964_Alaska_earthquake,"Whittier,_Alaska",1
1985_Mexico_City_earthquake,2017_Puebla_earthquake,1
1985_Mexico_City_earthquake,Modified_Mercalli_intensity_scale,1
1989_Loma_Prieta_earthquake,1906_San_Francisco_earthquake,1
1989_Loma_Prieta_earthquake,1994_Northridge_earthquake,1
1989_Loma_Prieta_earthquake,Fault_(geology),1
1989_Loma_Prieta_earthquake,Foreshock,1
1989_Loma_Prieta_earthquake,List_of_earthquakes_in_the_United_States,1
1989_Loma_Prieta_earthquake,Modified_Mercalli_intensity_scale,1
1989_Loma_Prieta_earthquake,Moment_magnitude_scale,1
1989_Loma_Prieta_earthquake,San_Andreas_Fault,1
1989_Loma_Prieta_earthquake,Soil_liquefaction,1
1992_Winter_Olympics,1994_Winter_Olympics,1
1992_Winter_Olympics,Albertville,1
1994_Northridge_earthquake,1989_Loma_Prieta_earthquake,1
1994_Northridge_earthquake,List_of_earthquakes_in_the_United_States,1
1994_Northridge_earthquake,Modified_Mercalli_intensity_scale,1
1994_Northridge_earthquake,Peak_ground_acceleration,1
1994_Northridge_earthquake,Seismic_magnitude_scales,1
1994_Winter_Olympics,1992_Winter_Olympics,1
1994_Winter_Olympics,Albertville,1
2001_Gujarat_earthquake,Fault_(geology),1
2001_Gujarat_earthquake,List_of_earthquakes_in_India,1
2001_Gujarat_earthquake,Modified_Mercalli_intensity_scale,1
2001_Gujarat_earthquake,Moment_magnitude_scale,1
2001_Nisqually_earthquake,1994_Northridge_earthquake,1
2001_Nisqually_earthquake,Fault_(geology),1
2001_Nisqually_earthquake,List_of_earthquakes_in_the_United_States,1
2001_Nisqually_earthquake,Modified_Mercalli_intensity_scale,1
2002_Denali_earthquake,1965_Rat_Islands_earthquake,1
2002_Denali_earthquake,Alaska_Route_1,1
2002_Denali_earthquake,List_of_earthquakes_in_Alaska,1
2004_Indian_Ocean_earthquake_and_tsunami,1556_Shaanxi_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,1700_Cascadia_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,1908_Messina_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,1946_Aleutian_Islands_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,1960_Valdivia_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,1964_Alaska_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,2010_Chile_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,2010_Haiti_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,2012_Indian_Ocean_earthquakes,1
2004_Indian_Ocean_earthquake_and_tsunami,Coordinated_Universal_Time,1
2004_Indian_Ocean_earthquake_and_tsunami,Effect_of_the_2004_Indian_Ocean_earthquake_on_India,1
2004_Indian_Ocean_earthquake_and_tsunami,Fault_(geology),1
2004_Indian_Ocean_earthquake_and_tsunami,Foreshock,1
2004_Indian_Ocean_earthquake_and_tsunami,Lists_of_earthquakes,1
2004_Indian_Ocean_earthquake_and_tsunami,Megathrust_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,Modified_Mercalli_intensity_scale,1
2004_Indian_Ocean_earthquake_and_tsunami,Moment_magnitude_scale,1
2004_Indian_Ocean_earthquake_and_tsunami,Seismic_magnitude_scales,1
2004_Indian_Ocean_earthquake_and_tsunami,Seismic_moment,1
2004_Indian_Ocean_earthquake_and_tsunami,Subduction,1
2004_Indian_Ocean_earthquake_and_tsunami,Submarine_earthquake,1
2004_Indian_Ocean_earthquake_and_tsunami,Tsunami,1
2004_Indian_Ocean_earthquake_and_tsunami,Tsunami_warning_system,1
2004_Indian_Ocean_earthquake_and_tsunami,United_States_Geological_Survey,1
2005_Base_Realignment_and_Closure_Commission,Joint_base,1
2005_Kashmir_earthquake,Modified_Mercalli_intensity_scale,1
2008_Sichuan_earthquake,Moment_magnitude_scale,1
2008_Sichuan_earthquake,Surface-wave_magnitude,1
2010_Chile_earthquake,1960_Valdivia_earthquake,1
2010_Chile_earthquake,Megathrust_earthquake,1
2010_Chile_earthquake,Moment_magnitude_scale,1
2010_Haiti_earthquake,2004_Indian_Ocean_earthquake_and_tsunami,1
2010_Haiti_earthquake,2010_Chile_earthquake,1
2010_Haiti_earthquake,Aftershock,1
2010_Haiti_earthquake,Modified_Mercalli_intensity_scale,1
2010_Haiti_earthquake,Moment_magnitude_scale,1
2010_United_States_census,California,1
2010_United_States_census,List_of_United_States_cities_by_population,1
2010_United_States_census,Metropolitan_statistical_area,1
2010_United_States_census,New_York_(state),1
2010_United_States_census,United_States,1
2011_Virginia_earthquake,Fault_(geology),1
2012_Indian_Ocean_earthquakes,Fault_(geology),1
2013_Bohol_earthquake,1990_Luzon_earthquake,1
2014_South_Napa_earthquake,1989_Loma_Prieta_earthquake,1
2014_United_States_Senate_election_in_Alaska,Dan_Sullivan_(U.S._senator),1
2014_United_States_Senate_election_in_Alaska,Mark_Begich,1
2016_Kaikōura_earthquake,List_of_earthquakes_in_New_Zealand,1
2016_United_States_Senate_election_in_Alaska,Lisa_Murkowski,1
2017_Puebla_earthquake,1985_Mexico_City_earthquake,1
2018_Alaska_earthquake,2018_Anchorage_earthquake,1
2018_Alaska_earthquake,2018_Gulf_of_Alaska_earthquake,1
2018_Alaska_gubernatorial_election,2018_United_States_House_of_Representatives_election_in_Alaska,1
2018_Alaska_gubernatorial_election,Alaska,1
2018_Alaska_gubernatorial_election,Bill_Walker_(American_politician),1
2018_Alaska_gubernatorial_election,Kevin_Meyer_(politician),1
2018_Alaska_gubernatorial_election,Mark_Begich,1
2018_Anchorage_earthquake,1964_Alaska_earthquake,1
2018_Anchorage_earthquake,2001_Nisqually_earthquake,1
2018_Anchorage_earthquake,2016_Old_Iliamna_earthquake,1
2018_Anchorage_earthquake,2018_Gulf_of_Alaska_earthquake,1
2018_Anchorage_earthquake,Alaska,1
2018_Anchorage_earthquake,Alaska_Railroad,1
2018_Anchorage_earthquake,Alaska_Time_Zone,1
2018_Anchorage_earthquake,Aleutian_Trench,1
2018_Anchorage_earthquake,"Anchorage,_Alaska",1
2018_Anchorage_earthquake,Bill_Walker_(American_politician),1
2018_Anchorage_earthquake,Ethan_Berkowitz,1
2018_Anchorage_earthquake,"Fairbanks,_Alaska",1
2018_Anchorage_earthquake,Fault_(geology),1
2018_Anchorage_earthquake,Glenn_Highway,1
2018_Anchorage_earthquake,Joint_Base_Elmendorf–Richardson,1
2018_Anchorage_earthquake,KTVA,1
2018_Anchorage_earthquake,Kenai_Peninsula,1
2018_Anchorage_earthquake,List_of_earthquakes_in_2018,1
2018_Anchorage_earthquake,List_of_earthquakes_in_Alaska,1
2018_Anchorage_earthquake,Megathrust_earthquake,1
2018_Anchorage_earthquake,Modified_Mercalli_intensity_scale,1
2018_Anchorage_earthquake,National_Tsunami_Warning_Center,1
2018_Anchorage_earthquake,"Palmer,_Alaska",1
2018_Anchorage_earthquake,People_Mover_(Anchorage),1
2018_Anchorage_earthquake,Seismic_magnitude_scales,1
2018_Anchorage_earthquake,Soil_liquefaction,1
2018_Anchorage_earthquake,Ted_Stevens_Anchorage_International_Airport,1
2018_Anchorage_earthquake,Trans-Alaska_Pipeline_System,1
2018_Gulf_of_Alaska_earthquake,2018_Anchorage_earthquake,1
2018_Gulf_of_Alaska_earthquake,Fault_(geology),1
2018_Gulf_of_Alaska_earthquake,Megathrust_earthquake,1
2018_Gulf_of_Alaska_earthquake,Seismic_magnitude_scales,1
2018_Osaka_earthquake,Japan_Meteorological_Agency_seismic_intensity_scale,1
2018_Sulawesi_earthquake_and_tsunami,2004_Indian_Ocean_earthquake_and_tsunami,1
2018_Sulawesi_earthquake_and_tsunami,2018_East_Java_earthquake,1
2018_Sulawesi_earthquake_and_tsunami,2018_West_Java_earthquake,1
2018_Sulawesi_earthquake_and_tsunami,5_August_2018_Lombok_earthquake,1
2018_Sulawesi_earthquake_and_tsunami,Earthquake,1
2018_Sulawesi_earthquake_and_tsunami,Fault_(geology),1
2018_Sulawesi_earthquake_and_tsunami,Foreshock,1
2018_Sulawesi_earthquake_and_tsunami,July_2018_Lombok_earthquake,1
2018_Sulawesi_earthquake_and_tsunami,List_of_earthquakes_in_2018,1
2018_Sulawesi_earthquake_and_tsunami,Modified_Mercalli_intensity_scale,1
2018_Sulawesi_earthquake_and_tsunami,Seismic_magnitude_scales,1
2018_Sulawesi_earthquake_and_tsunami,Soil_liquefaction,1
2018_Sulawesi_earthquake_and_tsunami,Tsunami_warning_system,1
2018_United_States_House_of_Representatives_election_in_Alaska,2018_Alaska_gubernatorial_election,1
2018_United_States_House_of_Representatives_election_in_Alaska,Don_Young,1
2018_in_American_television,KTVA,1
2018_in_the_United_States,2018_Anchorage_earthquake,1
2018_in_the_United_States,2018_in_American_television,1
2018_in_the_United_States,Donald_Trump,1
2018_in_the_United_States,United_States,1
2019_Iditarod,Iditarod_Trail_Sled_Dog_Race,1
"2nd_Infantry_Brigade_Combat_Team_(Airborne),_11th_Airborne_Division",Joint_Base_Elmendorf–Richardson,1
365_Crete_earthquake,List_of_tsunamis,1
365_Crete_earthquake,Modified_Mercalli_intensity_scale,1
5_August_2018_Lombok_earthquake,July_2018_Lombok_earthquake,1
African_Americans,Asian_Americans,1
African_Americans,Hispanic_and_Latino_Americans,1
African_Americans,List_of_United_States_urban_areas,1
African_Americans,Multiracial_Americans,1
African_Americans,President_of_the_United_States,1
African_Americans,White_Americans,1
Aftershock,Earthquake,1
Aftershock,Foreshock,1
Agriculture_in_Alaska,Matanuska-Susitna_Valley,1
Air_Force_One,Donald_Trump,1
Air_Force_One,President_of_the_United_States,1
Alaska,1964_Alaska_earthquake,1
Alaska,1989_Loma_Prieta_earthquake,1
Alaska,2016_United_States_presidential_election_in_Alaska,1
Alaska,Alaska_Airlines,1
Alaska,Alaska_House_of_Representatives,1
Alaska,Alaska_Natives,1
Alaska,Alaska_North_Slope,1
Alaska,Alaska_Peninsula,1
Alaska,Alaska_Purchase,1
Alaska,Alaska_Railroad,1
Alaska,Alaska_Senate,1
Alaska,Alaska_State_Troopers,1
Alaska,Alaska_Time_Zone,1
Alaska,Aleut,1
Alaska,Aleutian_Islands,1
Alaska,"Anchorage,_Alaska",1
Alaska,Anchorage_metropolitan_area,1
Alaska,Asian_Americans,1
Alaska,Attu_Island,1
Alaska,Bill_Walker_(American_politician),1
Alaska,California,1
Alaska,Chris_McCandless,1
Alaska,Climate_of_Alaska,1
Alaska,Contiguous_United_States,1
Alaska,Dan_Sullivan_(U.S._senator),1
Alaska,Demographics_of_Alaska,1
Alaska,Demonym,1
Alaska,Denali,1
Alaska,Denali_National_Park_and_Preserve,1
Alaska,Denaʼina_language,1
Alaska,Don_Young,1
Alaska,"Fairbanks,_Alaska",1
Alaska,Grizzly_bear,1
Alaska,"Homer,_Alaska",1
Alaska,"Houston,_Alaska",1
Alaska,Iditarod_Trail_Sled_Dog_Race,1
Alaska,Interior_Alaska,1
Alaska,Jewel_(singer),1
Alaska,"Juneau,_Alaska",1
Alaska,"Kenai,_Alaska",1
Alaska,Kenai_Peninsula,1
Alaska,"Ketchikan,_Alaska",1
Alaska,Kevin_Meyer_(politician),1
Alaska,"Knik-Fairview,_Alaska",1
Alaska,"Kodiak,_Alaska",1
Alaska,Kodiak_Island,1
Alaska,Köppen_climate_classification,1
Alaska,Lisa_Murkowski,1
Alaska,List_of_Alaska_locations_by_per_capita_income,1
Alaska,List_of_Interstate_Highways_in_Alaska,1
Alaska,List_of_boroughs_and_census_areas_in_Alaska,1
Alaska,List_of_cities_in_Alaska,1
Alaska,List_of_colleges_and_universities_in_Alaska,1
Alaska,List_of_largest_cities_of_U.S._states_and_territories_by_population,1
Alaska,List_of_states_and_territories_of_the_United_States,1
Alaska,Lists_of_earthquakes,1
Alaska,Matanuska-Susitna_Valley,1
Alaska,Moose,1
Alaska,Mushing,1
Alaska,Native_Americans_in_the_United_States,1
Alaska,"Nome,_Alaska",1
Alaska,North_America,1
Alaska,"North_Pole,_Alaska",1
Alaska,Outside_(Alaska),1
Alaska,Politics_of_Alaska,1
Alaska,"Prudhoe_Bay,_Alaska",1
Alaska,Prudhoe_Bay_Oil_Field,1
Alaska,Sarah_Palin,1
Alaska,"Sitka,_Alaska",1
Alaska,Southcentral_Alaska,1
Alaska,Southeast_Alaska,1
Alaska,Tagalog_language,1
Alaska,"Talkeetna,_Alaska",1
Alaska,Ted_Stevens_Anchorage_International_Airport,1
Alaska,Territories_of_the_United_States,1
Alaska,Trans-Alaska_Pipeline_System,1
Alaska,Turnagain_Arm,1
Alaska,U.S._state,1
Alaska,United_States,1
Alaska,University_of_Alaska_Anchorage,1
Alaska,University_of_Alaska_Fairbanks,1
Alaska,University_of_Alaska_system,1
Alaska,"Unorganized_Borough,_Alaska",1
Alaska,"Utqiagvik,_Alaska",1
Alaska,"Valdez,_Alaska",1
Alaska,"Wasilla,_Alaska",1
Alaska,White_Americans,1
Alaska,William_H._Seward,1
Alaska_Aces_(ECHL),"Anchorage,_Alaska",1
Alaska_Aces_(ECHL),ECHL,1
Alaska_Aces_(ECHL),Maine_Mariners_(ECHL),1
Alaska_Aces_(ECHL),Scott_Gomez,1
Alaska_Aces_(ECHL),Sullivan_Arena,1
Alaska_Airlines,"Anchorage,_Alaska",1
Alaska_Airlines,List_of_Alaska_Airlines_destinations,1
Alaska_Airlines,Ravn_Alaska,1
Alaska_Airlines,Ted_Stevens_Anchorage_International_Airport,1
Alaska_Anchorage_Seawolves,Alaska_Airlines_Center,1
Alaska_Anchorage_Seawolves,Great_Alaska_Shootout,1
Alaska_Anchorage_Seawolves,Great_Northwest_Athletic_Conference,1
Alaska_Anchorage_Seawolves,University_of_Alaska_Anchorage,1
Alaska_Baseball_League,Anchorage_Bucs,1
Alaska_House_of_Representatives,Alaska,1
Alaska_House_of_Representatives,Alaska_Democratic_Party,1
Alaska_House_of_Representatives,Alaska_Senate,1
Alaska_Natives,Alaska,1
Alaska_Natives,Alaska_Native_corporation,1
Alaska_Natives,Aleut,1
Alaska_Natives,Iñupiat,1
Alaska_Natives,Native_Americans_in_the_United_States,1
Alaska_Natives,Yup'ik,1
Alaska_North_Slope,Brooks_Range,1
Alaska_North_Slope,"North_Slope_Borough,_Alaska",1
Alaska_North_Slope,Prudhoe_Bay_Oil_Field,1
Alaska_Peninsula,Alaska,1
Alaska_Peninsula,Aleutian_Islands,1
Alaska_Purchase,Alaska,1
Alaska_Purchase,Alaska_Natives,1
Alaska_Purchase,Alaska_Peninsula,1
Alaska_Purchase,"Sitka,_Alaska",1
Alaska_Purchase,United_States,1
Alaska_Purchase,William_H._Seward,1
Alaska_Railroad,Ted_Stevens_Anchorage_International_Airport,1
Alaska_Railroad,"Whittier,_Alaska",1
Alaska_Senate,Alaska_Democratic_Party,1
Alaska_Senate,Alaska_House_of_Representatives,1
Alaska_Senate,Tom_Begich,1
Alaska_State_Troopers,Alaska_State_Troopers_(TV_series),1
Alaska_State_Troopers,Anchorage_Police_Department,1
Alaska_State_Troopers,"North_Slope_Borough,_Alaska",1
Alaska_State_Troopers_(TV_series),Alaska_State_Troopers,1
Alaska_Time_Zone,Aleutian_Islands,1
Alaska_Time_Zone,"Anchorage,_Alaska",1
Alaska_Time_Zone,UTC−09:00,1
Alaskan_Command,Joint_Base_Elmendorf–Richardson,1
Albertville,1992_Winter_Olympics,1
Aleut,Alaska,1
Aleut,Aleutian_Islands,1
Aleut,Attu_Island,1
Aleutian_Islands,2014_Aleutian_Islands_earthquake,1
Aleutian_Islands,Alaska,1
Aleutian_Islands,Alaska_Peninsula,1
Aleutian_Islands,Alaska_Purchase,1
Aleutian_Islands,Aleut,1
Aleutian_Islands,Attu_Island,1
Aleutian_Islands,List_of_extreme_points_of_the_United_States,1
Aleutian_Islands,"Sitka,_Alaska",1
Aleutian_Trench,Aleutian_Islands,1
Alyeska_Resort,"Girdwood,_Anchorage,_Alaska",1
American_black_bear,Grizzly_bear,1
American_black_bear,North_America,1
"Anchorage,_Alaska",1964_Alaska_earthquake,1
"Anchorage,_Alaska",2018_Alaska_gubernatorial_election,1
"Anchorage,_Alaska",2018_United_States_House_of_Representatives_election_in_Alaska,1
"Anchorage,_Alaska",Alaska,1
"Anchorage,_Alaska",Alaska_Aces_(ECHL),1
"Anchorage,_Alaska",Alaska_Baseball_League,1
"Anchorage,_Alaska",Alaska_House_of_Representatives,1
"Anchorage,_Alaska",Alaska_Natives,1
"Anchorage,_Alaska",Alaska_Pacific_University,1
"Anchorage,_Alaska",Alaska_Purchase,1
"Anchorage,_Alaska",Alaska_Railroad,1
"Anchorage,_Alaska",Alaska_Route_1,1
"Anchorage,_Alaska",Alaska_Senate,1
"Anchorage,_Alaska",Alaska_Zoo,1
"Anchorage,_Alaska",All-America_City_Award,1
"Anchorage,_Alaska",Alyeska_Resort,1
"Anchorage,_Alaska",Anchorage_(maritime),1
"Anchorage,_Alaska",Anchorage_Football_Stadium,1
"Anchorage,_Alaska",Anchorage_Museum,1
